FOLIO_I,FOLIO_INT,entidad,desc_ent,municipio,desc_mun,id_tortillas,tortillas,pa1_t,pa4_t,ponde_f,estrato,est_sel,upm,completa,region
2022_01005019,2022_01005019_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,160,Tortillas de maiz de masa (comprada) o de tortillería,7,30,34101.2151227695,2,12,0100500010247,1,4
2022_01005019,2022_01005019_01,01,01 AGUASCALIENTES,005,005 JESÚS MARÍA,161,Tortillas de harina de trigo,9, ,34101.2151227695,2,12,0100500010247,1,4
2022_01006001,2022_01006001_04,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,45946.6707768964,2,12,0100600010282,1,4
2022_01006001,2022_01006001_04,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,45946.6707768964,2,12,0100600010282,1,4
2022_01006001,2022_01006001_04,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,160,Tortillas de maiz de masa (comprada) o de tortillería,7,5,45946.6707768964,2,12,0100600010282,1,4
2022_01006001,2022_01006001_04,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,161,Tortillas de harina de trigo,9, ,45946.6707768964,2,12,0100600010282,1,4
2022_01006010,2022_01006010_03,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,64797.9887153753,2,12,0100600010282,1,4
2022_01006010,2022_01006010_03,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,64797.9887153753,2,12,0100600010282,1,4
2022_01006010,2022_01006010_03,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,160,Tortillas de maiz de masa (comprada) o de tortillería,7,4,64797.9887153753,2,12,0100600010282,1,4
2022_01006010,2022_01006010_03,01,01 AGUASCALIENTES,006,006 PABELLÓN DE ARTEAGA,161,Tortillas de harina de trigo,9, ,64797.9887153753,2,12,0100600010282,1,4
2022_01009014,2022_01009014_02,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,20145.2915888627,1,11,010090000002A,1,4
2022_01009014,2022_01009014_02,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,20145.2915888627,1,11,010090000002A,1,4
2022_01009014,2022_01009014_02,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,160,Tortillas de maiz de masa (comprada) o de tortillería,3,5,20145.2915888627,1,11,010090000002A,1,4
2022_01009014,2022_01009014_02,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,161,Tortillas de harina de trigo,9, ,20145.2915888627,1,11,010090000002A,1,4
2022_01009019,2022_01009019_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,64752.3777765656,1,11,010090000002A,1,4
2022_01009019,2022_01009019_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,64752.3777765656,1,11,010090000002A,1,4
2022_01009019,2022_01009019_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,160,Tortillas de maiz de masa (comprada) o de tortillería,7,6,64752.3777765656,1,11,010090000002A,1,4
2022_01009019,2022_01009019_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,161,Tortillas de harina de trigo,9, ,64752.3777765656,1,11,010090000002A,1,4
2022_01009030,2022_01009030_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,15083.0066282618,1,11,010090000002A,1,4
2022_01009030,2022_01009030_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,15083.0066282618,1,11,010090000002A,1,4
